timestamp,open,high,low,close,volume
2024-04-08 19:50:00,189.8200,189.9900,189.8200,189.9900,2
2024-04-08 19:35:00,189.9900,189.9900,189.9900,189.9900,6
2024-04-08 19:30:00,189.9890,189.9890,189.9890,189.9890,5
2024-04-08 19:25:00,189.8700,189.8700,189.8700,189.8700,1
2024-04-08 19:10:00,189.9900,189.9900,189.9900,189.9900,47
2024-04-08 19:00:00,189.8200,189.8200,189.8200,189.8200,548658
2024-04-08 18:45:00,189.9900,189.9900,189.9900,189.9900,20
2024-04-08 18:40:00,189.9900,189.9900,189.9900,189.9900,1
2024-04-08 18:30:00,189.8200,189.8200,189.8200,189.8200,548660
2024-04-08 18:20:00,181.9120,181.9120,181.9120,181.9120,63
2024-04-08 18:15:00,189.9600,189.9800,189.9600,189.9800,100
2024-04-08 18:00:00,189.9600,189.9600,189.9500,189.9500,2
2024-04-08 17:50:00,189.9500,189.9900,189.9500,189.9900,10
2024-04-08 17:30:00,189.9500,189.9500,189.9500,189.9500,5
2024-04-08 17:25:00,189.8500,189.9900,189.8500,189.9900,3
2024-04-08 17:20:00,189.8500,189.8500,189.8500,189.8500,1
2024-04-08 17:15:00,189.8500,189.8500,189.8500,189.8500,1
2024-04-08 17:00:00,189.8500,189.9900,189.8500,189.8500,79
2024-04-08 16:55:00,189.8200,189.8200,189.8200,189.8200,7
2024-04-08 16:45:00,189.9900,189.9900,189.9900,189.9900,6
2024-04-08 16:40:00,189.8400,189.8400,189.8400,189.8400,1
2024-04-08 16:35:00,190.0800,190.0800,189.8200,189.8200,4303
2024-04-08 16:30:00,190.0800,190.0800,190.0800,190.0800,1
2024-04-08 16:20:00,189.8200,190.0800,189.8200,190.0800,6
2024-04-08 16:15:00,189.8200,189.8300,189.8200,189.8300,3
2024-04-08 16:10:00,189.8200,189.8200,189.8200,189.8200,548661
2024-04-08 16:05:00,189.4910,189.8400,189.4910,189.8200,668
2024-04-08 16:00:00,189.9000,189.9100,189.8200,189.8200,1472306
2024-04-08 15:55:00,189.7900,190.2400,189.7400,189.9000,418376
2024-04-08 15:50:00,189.8800,189.9700,189.7300,189.7900,108591
2024-04-08 15:45:00,189.7400,189.8900,189.7400,189.8700,59532
2024-04-08 15:40:00,189.6900,189.7500,189.6120,189.7500,62554
